105	-120	-64
96	-116	-64
144	-130	-38
153	-148	-38
163	-162	-23
167	-173	-21
153	-177	-25
134	-205	-19
118	-231	-24
115	-263	12
94	-285	25
91	-285	27
65	-289	12
9	-282	7
15	-283	6
42	-283	7
55	-289	10
57	-289	14
63	-293	20
61	-292	17
59	-288	20
60	-290	13
58	-289	15
59	-286	13
58	-288	9
58	-284	9
56	-279	8
55	-280	5
55	-281	2
53	-278	5
53	-280	5
53	-284	3
54	-283	4
52	-283	9
52	-282	8
50	-287	7
49	-289	11
50	-289	19
49	-291	17
41	-286	20
31	-285	20
16	-287	12
5	-275	14
14	-265	22
25	-266	29
21	-252	31
17	-247	25
10	-231	26
18	-222	28
16	-224	24
15	-223	24
19	-222	24
21	-232	24
18	-239	21
13	-238	25
4	-229	21
3	-233	22
5	-232	21
3	-229	14
7	-232	14
11	-230	22
2	-218	16
1	-219	16
-1	-217	18
-1	-220	13
-1	-215	18
-4	-215	16
-3	-214	13
-4	-211	15
-3	-215	13
-1	-217	18
0	-218	20
2	-220	20
3	-220	19
3	-219	22
2	-222	22
3	-222	23
1	-224	22
2	-227	21
4	-227	23
3	-231	21
3	-228	23
5	-228	27
3	-231	21
4	-229	26
3	-229	27
3	-231	23
2	-231	22
3	-229	28
3	-232	22
3	-231	24
-2	-232	28
-3	-233	29
-3	-233	24
-3	-233	29
-3	-232	27
-2	-230	30
-3	-232	23
-3	-229	26
-4	-227	27
-3	-224	25
-3	-223	26
-3	-225	23
-2	-223	26
-4	-222	23
-3	-219	24
-3	-218	22
-5	-217	24
-4	-221	20
-2	-215	27
-3	-217	24
-3	-217	22
-1	-215	26
-2	-220	20
-1	-217	23
-2	-214	23
-2	-214	23
-2	-212	26
-3	-213	24
-2	-212	23
-2	-211	26
-3	-214	20
-3	-212	24
-2	-210	23
-3	-213	20
-1	-225	19
-1	-223	20
2	-222	22
0	-223	22
1	-222	23
1	-224	23
2	-223	22
-1	-226	20
1	-223	27
1	-227	23
-1	-224	23
-1	-222	25
0	-222	25
-1	-223	24
-1	-225	23
-1	-224	23
-1	-224	24
-1	-223	25
-1	-223	24
0	-222	25
-1	-222	24
-1	-221	25
-2	-223	22
-1	-222	24
-1	-221	23
-3	-222	22
-2	-220	25
-2	-221	22
-1	-222	24
-1	-221	24
-2	-222	23
-2	-220	24
-3	-223	20
-1	-220	25
-2	-224	20
-1	-219	26
-1	-222	22
-1	-219	23
-1	-221	22
0	-220	25
1	-220	23
-2	-220	22
-1	-220	23
-1	-220	21
0	-220	23
-1	-222	19
-2	-218	25
-2	-220	20
-1	-217	23
-2	-219	20
-1	-219	22
-1	-217	23
0	-218	20
-2	-218	21
0	-217	24
-2	-220	21
0	-216	23
-1	-216	23
-1	-219	20
2	-215	24
0	-215	24
-1	-218	21
-2	-216	21
-1	-216	24
0	-219	20
1	-219	20
2	-217	23
2	-218	22
1	-221	21
1	-216	23
1	-217	23
1	-221	21
1	-219	22
2	-218	23
0	-221	22
2	-218	24
2	-217	25
1	-218	22
2	-218	22
